,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2025-07-08,0.9957,0.9957,0.46,开放申购,开放赎回,
1,2025-07-07,0.9911,0.9911,-0.5,开放申购,开放赎回,
2,2025-07-04,0.9961,0.9961,0.01,开放申购,开放赎回,
3,2025-07-03,0.996,0.996,0.61,开放申购,开放赎回,
4,2025-07-02,0.99,0.99,-0.18,开放申购,开放赎回,
5,2025-07-01,0.9918,0.9918,0.08,开放申购,开放赎回,
6,2025-06-30,0.991,0.991,0.35,开放申购,开放赎回,
7,2025-06-27,0.9875,0.9875,-0.18,开放申购,开放赎回,
8,2025-06-26,0.9893,0.9893,-0.87,开放申购,开放赎回,
9,2025-06-25,0.998,0.998,1.2,开放申购,开放赎回,
10,2025-06-24,0.9862,0.9862,1.93,开放申购,开放赎回,
11,2025-06-23,0.9675,0.9675,-0.43,开放申购,开放赎回,
12,2025-06-20,0.9717,0.9717,-0.1,开放申购,开放赎回,
13,2025-06-19,0.9727,0.9727,-0.85,开放申购,开放赎回,
14,2025-06-18,0.981,0.981,0.15,开放申购,开放赎回,
15,2025-06-17,0.9795,0.9795,-0.19,开放申购,开放赎回,
16,2025-06-16,0.9814,0.9814,-0.29,开放申购,开放赎回,
17,2025-06-13,0.9843,0.9843,-1.34,开放申购,开放赎回,
18,2025-06-12,0.9977,0.9977,-0.27,开放申购,开放赎回,
19,2025-06-11,1.0004,1.0004,1.02,开放申购,开放赎回,
20,2025-06-10,0.9903,0.9903,-0.42,开放申购,开放赎回,
21,2025-06-09,0.9945,0.9945,-0.31,开放申购,开放赎回,
22,2025-06-06,0.9976,0.9976,-0.48,开放申购,开放赎回,
23,2025-06-05,1.0024,1.0024,0.2,开放申购,开放赎回,
24,2025-06-04,1.0004,1.0004,0.5,开放申购,开放赎回,
25,2025-06-03,0.9954,0.9954,-0.85,开放申购,开放赎回,
26,2025-05-30,1.0039,1.0039,-0.99,开放申购,开放赎回,
27,2025-05-29,1.0139,1.0139,0.5,开放申购,开放赎回,
28,2025-05-28,1.0089,1.0089,-0.2,开放申购,开放赎回,
29,2025-05-27,1.0109,1.0109,-0.89,开放申购,开放赎回,
30,2025-05-26,1.02,1.02,-1.71,开放申购,开放赎回,
31,2025-05-23,1.0377,1.0377,0.08,开放申购,开放赎回,
32,2025-05-22,1.0369,1.0369,-0.11,开放申购,开放赎回,
33,2025-05-21,1.038,1.038,0.32,开放申购,开放赎回,
34,2025-05-20,1.0347,1.0347,1.31,开放申购,开放赎回,
35,2025-05-19,1.0213,1.0213,-0.12,开放申购,开放赎回,
36,2025-05-16,1.0225,1.0225,0.8,开放申购,开放赎回,
37,2025-05-15,1.0144,1.0144,-0.66,开放申购,开放赎回,
38,2025-05-14,1.0211,1.0211,0.18,开放申购,开放赎回,
39,2025-05-13,1.0193,1.0193,-0.21,开放申购,开放赎回,
40,2025-05-12,1.0214,1.0214,1.41,开放申购,开放赎回,
41,2025-05-09,1.0072,1.0072,-0.12,开放申购,开放赎回,
42,2025-05-08,1.0084,1.0084,0.49,开放申购,开放赎回,
43,2025-05-07,1.0035,1.0035,0.11,开放申购,开放赎回,
44,2025-05-06,1.0024,1.0024,1.31,开放申购,开放赎回,
45,2025-04-30,0.9894,0.9894,0.58,开放申购,开放赎回,
46,2025-04-29,0.9837,0.9837,0.28,开放申购,开放赎回,
47,2025-04-28,0.981,0.981,-0.73,开放申购,开放赎回,
48,2025-04-25,0.9882,0.9882,0.39,开放申购,开放赎回,
49,2025-04-24,0.9844,0.9844,-0.39,开放申购,开放赎回,
50,2025-04-23,0.9883,0.9883,1.4,开放申购,开放赎回,
51,2025-04-22,0.9747,0.9747,-0.06,开放申购,开放赎回,
52,2025-04-21,0.9753,0.9753,1.11,开放申购,开放赎回,
53,2025-04-18,0.9646,0.9646,-0.24,开放申购,开放赎回,
54,2025-04-17,0.9669,0.9669,-0.63,开放申购,开放赎回,
55,2025-04-16,0.973,0.973,-0.7,开放申购,开放赎回,
56,2025-04-15,0.9799,0.9799,0.27,开放申购,开放赎回,
57,2025-04-14,0.9773,0.9773,0.34,开放申购,开放赎回,
58,2025-04-11,0.974,0.974,0.88,开放申购,开放赎回,
59,2025-04-10,0.9655,0.9655,2.49,开放申购,开放赎回,
60,2025-04-09,0.942,0.942,1.13,开放申购,开放赎回,
61,2025-04-08,0.9315,0.9315,1.03,开放申购,开放赎回,
62,2025-04-07,0.922,0.922,-8.32,开放申购,开放赎回,
63,2025-04-03,1.0057,1.0057,-1.9,开放申购,开放赎回,
64,2025-04-02,1.0252,1.0252,0.17,开放申购,开放赎回,
65,2025-04-01,1.0235,1.0235,-1.16,开放申购,开放赎回,
66,2025-03-31,1.0355,1.0355,-0.34,开放申购,开放赎回,
67,2025-03-28,1.039,1.039,-0.48,开放申购,开放赎回,
68,2025-03-27,1.044,1.044,0.68,开放申购,开放赎回,
69,2025-03-26,1.0369,1.0369,0.29,开放申购,开放赎回,
70,2025-03-25,1.0339,1.0339,-0.64,开放申购,开放赎回,
71,2025-03-24,1.0406,1.0406,0.65,开放申购,开放赎回,
72,2025-03-21,1.0339,1.0339,-2.11,开放申购,开放赎回,
73,2025-03-20,1.0562,1.0562,-0.5,开放申购,开放赎回,
74,2025-03-19,1.0615,1.0615,0.41,开放申购,开放赎回,
75,2025-03-18,1.0572,1.0572,0.89,开放申购,开放赎回,
76,2025-03-17,1.0479,1.0479,0.23,开放申购,开放赎回,
77,2025-03-14,1.0455,1.0455,3.03,开放申购,开放赎回,
78,2025-03-13,1.0148,1.0148,-0.74,开放申购,开放赎回,
79,2025-03-12,1.0224,1.0224,-0.26,开放申购,开放赎回,
80,2025-03-11,1.0251,1.0251,-0.28,开放申购,开放赎回,
81,2025-03-10,1.028,1.028,0.07,开放申购,开放赎回,
82,2025-03-07,1.0273,1.0273,-0.28,开放申购,开放赎回,
83,2025-03-06,1.0302,1.0302,1.07,开放申购,开放赎回,
84,2025-03-05,1.0193,1.0193,0.68,开放申购,开放赎回,
85,2025-03-04,1.0124,1.0124,0.28,开放申购,开放赎回,
86,2025-03-03,1.0096,1.0096,-0.77,开放申购,开放赎回,
87,2025-02-28,1.0174,1.0174,-2.43,开放申购,开放赎回,
88,2025-02-27,1.0427,1.0427,0.53,开放申购,开放赎回,
89,2025-02-26,1.0372,1.0372,0.68,开放申购,开放赎回,
90,2025-02-25,1.0302,1.0302,-0.98,开放申购,开放赎回,
91,2025-02-24,1.0404,1.0404,-0.1,开放申购,开放赎回,
92,2025-02-21,1.0414,1.0414,1.21,开放申购,开放赎回,
93,2025-02-20,1.0289,1.0289,0.24,开放申购,开放赎回,
94,2025-02-19,1.0264,1.0264,0.95,开放申购,开放赎回,
95,2025-02-18,1.0167,1.0167,-1.16,开放申购,开放赎回,
96,2025-02-17,1.0286,1.0286,-0.25,开放申购,开放赎回,
97,2025-02-14,1.0312,1.0312,1.09,开放申购,开放赎回,
98,2025-02-13,1.0201,1.0201,-0.77,开放申购,开放赎回,
99,2025-02-12,1.028,1.028,0.68,开放申购,开放赎回,
100,2025-02-11,1.0211,1.0211,-0.42,开放申购,开放赎回,
101,2025-02-10,1.0254,1.0254,0.42,开放申购,开放赎回,
102,2025-02-07,1.0211,1.0211,2.03,开放申购,开放赎回,
103,2025-02-06,1.0008,1.0008,2.64,开放申购,开放赎回,
104,2025-02-05,0.9751,0.9751,-0.5,开放申购,开放赎回,
105,2025-01-27,0.98,0.98,-0.25,开放申购,开放赎回,
106,2025-01-24,0.9825,0.9825,1.06,开放申购,开放赎回,
107,2025-01-23,0.9722,0.9722,-0.42,开放申购,开放赎回,
108,2025-01-22,0.9763,0.9763,-1.26,开放申购,开放赎回,
109,2025-01-21,0.9888,0.9888,0.57,开放申购,开放赎回,
110,2025-01-20,0.9832,0.9832,0.63,开放申购,开放赎回,
111,2025-01-17,0.977,0.977,0.28,开放申购,开放赎回,
112,2025-01-16,0.9743,0.9743,0.42,开放申购,开放赎回,
113,2025-01-15,0.9702,0.9702,-0.72,开放申购,开放赎回,
114,2025-01-14,0.9772,0.9772,3.21,开放申购,开放赎回,
115,2025-01-13,0.9468,0.9468,-1.17,开放申购,开放赎回,
116,2025-01-10,0.958,0.958,-1.63,开放申购,开放赎回,
117,2025-01-09,0.9739,0.9739,0.31,开放申购,开放赎回,
118,2025-01-08,0.9709,0.9709,0.63,开放申购,开放赎回,
119,2025-01-07,0.9648,0.9648,1.33,开放申购,开放赎回,
120,2025-01-06,0.9521,0.9521,0.15,开放申购,开放赎回,
121,2025-01-03,0.9507,0.9507,-2.08,开放申购,开放赎回,
122,2025-01-02,0.9709,0.9709,-1.72,开放申购,开放赎回,
123,2024-12-31,0.9879,0.9879,-1.13,开放申购,开放赎回,
124,2024-12-30,0.9992,0.9992,0.25,开放申购,开放赎回,
125,2024-12-27,0.9967,0.9967,-0.19,开放申购,开放赎回,
126,2024-12-26,0.9986,0.9986,0.85,开放申购,开放赎回,
127,2024-12-25,0.9902,0.9902,-0.41,开放申购,开放赎回,
128,2024-12-24,0.9943,0.9943,1.78,开放申购,开放赎回,
129,2024-12-23,0.9769,0.9769,-0.38,开放申购,开放赎回,
130,2024-12-20,0.9806,0.9806,-0.42,开放申购,开放赎回,
131,2024-12-19,0.9847,0.9847,-0.1,开放申购,开放赎回,
132,2024-12-18,0.9857,0.9857,0.56,开放申购,开放赎回,
133,2024-12-17,0.9802,0.9802,0.04,开放申购,开放赎回,
134,2024-12-16,0.9798,0.9798,-0.67,开放申购,开放赎回,
135,2024-12-13,0.9864,0.9864,-1.78,开放申购,开放赎回,
136,2024-12-12,1.0043,1.0043,0.97,开放申购,开放赎回,
137,2024-12-11,0.9947,0.9947,0.72,开放申购,开放赎回,
138,2024-12-10,0.9876,0.9876,0.94,开放申购,开放赎回,
139,2024-12-09,0.9784,0.9784,0.32,开放申购,开放赎回,
140,2024-12-06,0.9753,0.9753,0.68,开放申购,开放赎回,
141,2024-12-05,0.9687,0.9687,0.02,开放申购,开放赎回,
142,2024-12-04,0.9685,0.9685,-0.31,开放申购,开放赎回,
143,2024-12-03,0.9715,0.9715,0.03,开放申购,开放赎回,
144,2024-12-02,0.9712,0.9712,2.2,开放申购,开放赎回,
145,2024-11-29,0.9503,0.9503,1.31,开放申购,开放赎回,
146,2024-11-28,0.938,0.938,-1.3,开放申购,开放赎回,
147,2024-11-27,0.9504,0.9504,1.57,开放申购,开放赎回,
148,2024-11-26,0.9357,0.9357,-0.84,开放申购,开放赎回,
149,2024-11-25,0.9436,0.9436,0.01,开放申购,开放赎回,
150,2024-11-22,0.9435,0.9435,-2.39,开放申购,开放赎回,
151,2024-11-21,0.9666,0.9666,-0.07,开放申购,开放赎回,
152,2024-11-20,0.9673,0.9673,0.35,开放申购,开放赎回,
153,2024-11-19,0.9639,0.9639,0.82,开放申购,开放赎回,
154,2024-11-18,0.9561,0.9561,-1.12,开放申购,开放赎回,
155,2024-11-15,0.9669,0.9669,-1.78,开放申购,开放赎回,
156,2024-11-14,0.9844,0.9844,-1.44,开放申购,开放赎回,
157,2024-11-13,0.9988,0.9988,0.37,开放申购,开放赎回,
158,2024-11-12,0.9951,0.9951,-0.02,开放申购,开放赎回,
159,2024-11-11,0.9953,0.9953,1.06,开放申购,开放赎回,
160,2024-11-08,0.9849,0.9849,0.0,开放申购,开放赎回,
161,2024-11-07,0.9849,0.9849,1.43,开放申购,开放赎回,
162,2024-11-06,0.971,0.971,-0.86,开放申购,开放赎回,
163,2024-11-05,0.9794,0.9794,1.31,开放申购,开放赎回,
164,2024-11-04,0.9667,0.9667,2.45,开放申购,开放赎回,
165,2024-11-01,0.9436,0.9436,-0.57,开放申购,开放赎回,
166,2024-10-31,0.949,0.949,-1.16,开放申购,开放赎回,
167,2024-10-30,0.9601,0.9601,-0.39,开放申购,开放赎回,
168,2024-10-29,0.9639,0.9639,-0.25,开放申购,开放赎回,
169,2024-10-28,0.9663,0.9663,0.74,开放申购,开放赎回,
170,2024-10-25,0.9592,0.9592,0.65,开放申购,开放赎回,
171,2024-10-24,0.953,0.953,-0.85,开放申购,开放赎回,
172,2024-10-23,0.9612,0.9612,0.82,开放申购,开放赎回,
173,2024-10-22,0.9534,0.9534,2.07,开放申购,开放赎回,
174,2024-10-21,0.9341,0.9341,0.27,开放申购,开放赎回,
175,2024-10-18,0.9316,0.9316,3.18,开放申购,开放赎回,
176,2024-10-17,0.9029,0.9029,-0.99,开放申购,开放赎回,
177,2024-10-16,0.9119,0.9119,-0.96,开放申购,开放赎回,
178,2024-10-15,0.9207,0.9207,-2.64,开放申购,开放赎回,
179,2024-10-14,0.9457,0.9457,1.71,开放申购,开放赎回,
180,2024-10-11,0.9298,0.9298,-2.76,开放申购,开放赎回,
181,2024-10-10,0.9562,0.9562,1.24,开放申购,开放赎回,
182,2024-10-09,0.9445,0.9445,-6.31,开放申购,开放赎回,
183,2024-10-08,1.0081,1.0081,4.73,开放申购,开放赎回,
184,2024-09-30,0.9626,0.9626,7.39,开放申购,开放赎回,
185,2024-09-27,0.8964,0.8964,3.25,开放申购,开放赎回,
186,2024-09-26,0.8682,0.8682,4.18,开放申购,开放赎回,
187,2024-09-25,0.8334,0.8334,1.41,开放申购,开放赎回,
188,2024-09-24,0.8218,0.8218,1.87,开放申购,开放赎回,
189,2024-09-23,0.8067,0.8067,0.36,开放申购,开放赎回,
190,2024-09-20,0.8038,0.8038,0.12,开放申购,开放赎回,
191,2024-09-19,0.8028,0.8028,0.96,开放申购,开放赎回,
